Prompt,Category
I completed MATH-180 at Fullerton College; can you tell me if it satisfies the Calculus I requirement for the computer science major here?,course equivalency
What is the full articulation agreement for the business administration AS-T degree from Santa Monica College?,course equivalency
Will my 'Introduction to Public Speaking' course from an out-of-state university count for the 'COMM 101' general education requirement?,course equivalency
"I have a score of 4 on the AP Physics C: Mechanics exam. Which course credit, if any, does that give me?",course equivalency
Is there a database similar to Assist.org that I can use to check course equivalencies from a college in Oregon?,course equivalency
My transcript from a university in India includes 'Advanced Engineering Mathematics'. How do I get that course evaluated for credit towards my Master's degree?,course equivalency
Does the 'BIO-205' (Anatomy & Physiology) class from Irvine Valley College transfer over as equivalent to the prerequisite for the nursing program?,course equivalency
I'm looking at the transfer details for the communications major. Does 'COMM-120' from Saddleback College satisfy the lower-division requirement for 'Small Group Communication'?,course equivalency
Can I use a CLEP exam score in 'American Government' to bypass the political science graduation requirement?,course equivalency
"The philosophy class I took, 'PHIL 2: Critical Thinking', isn't showing up on my transfer credit report. Can you verify if it's equivalent to a course here?",course equivalency
I took a series of three organic chemistry courses at a different UC. How do I ensure they are counted for the complete O-Chem requirement here?,course equivalency
What's the process for petitioning a course for credit if it's not listed in the official articulation agreement?,course equivalency
Does completing the entire CSU general education breadth pattern mean I've satisfied all my lower-division general ed here?,course equivalency
I'm a veteran with military training in electronics. Is it possible to get that experience assessed for academic credit in the electrical engineering department?,course equivalency
Can you check if 'Intro to Sociology' from Coastline Community College will transfer for credit?,course equivalency
Will 'Digital Photography 1' from my community college count as a lower-division arts elective?,course equivalency
I need to verify that 'Statistics for Behavioral Sciences' from my previous institution is equivalent to 'PSYC 10B'.,course equivalency
How many units does the 'Spanish 101' from Golden West College transfer as?,course equivalency
Is there an equivalent course here for the 'Introduction to Logic' class I took at a private university?,course equivalency
My unofficial transcript shows 'ECON 201'. What course does that articulate to at this campus?,course equivalency
The course description for my old 'Java Programming' class is nearly identical to your 'ICS 32'. Will it transfer?,course equivalency
I want to see the official transfer agreement between the Theatre Arts program at Orange Coast College and the Drama department here.,course equivalency
Will my 'World Religions' course satisfy the multicultural studies requirement?,course equivalency
Does an Associate's Degree for Transfer (ADT) in History guarantee junior standing in the History major?,course equivalency
I took 'Business Calculus'. Will that count for the standard 'Calculus I' requirement for a science major?,course equivalency
Can my 'Introductory Geology' lab course from a quarter-system school satisfy the science lab requirement at this semester-system school?,course equivalency
Please confirm the equivalency for 'ANTH 101: Physical Anthropology' from Cypress College.,course equivalency
How do I check if my study abroad courses will transfer for upper-division credit?,course equivalency
My AP English Literature score was a 5. Does that clear me of both freshman composition requirements?,course equivalency
Will 'Introduction to Kinesiology' from a community college count towards the Kinesiology major here?,course equivalency
"Can you provide the recommended four-year, semester-by-semester academic plan for a B.S. in Computer Science?",program pathway
I'm a first-year student majoring in Biology. What specific courses should I register for in my first two semesters?,program pathway
